puuid,games,contribution,volatility,win_rate
-2-vwO3FCVEM4JBqDZZsc7KEpmx1hhf2CFi0cTl1GajBg3NP7ydBOLoAcdpci9XfxnFvKUaFvqcUKA,562,1.0007514827269495,0.09053601679573567,0.4786476868327402
-LfJHiunEhhPckYMX64efn687JWe8BLRVgI3aADAt4DPyBsyB4P_KCbkSPgiVAv8jgY9a8CU9MzVdg,249,0.9632493652458411,0.09152850404557585,0.570281124497992
0IlUjB2V-qVefYJG-pVe_BYjYPlMuONo30pvVbsaWiHBHm_Bq-093eweMmZM41E4zz4QRIiCiLrA6g,61,1.0866407593317873,0.11899152387885319,0.7049180327868853
0qzRCZvqKj3W6E5xp6cOXqFgwMzkoeY_Rv9UnpNS-M7S_0Qt_WDtaP4dFfx99_u3usa6g6SvrpTwTw,188,0.9821008921862684,0.11900592438570419,0.5
3PV0N1WhJB_IY1yxcOAVIHy_k2WlgszjIeRzR0HVmQiuv-QOzx1B-w0jaBidjgOrYLNw8acjU53YQg,201,1.034568539470166,0.09177149531099146,0.5771144278606966
45FTXK4jpVFtMjemwUPT8-ocyU5ws3dkz4eJhclwGufpkKDcoVtkvbnXMmw2y6hxYwYZ-QjKLEsA_w,30,1.0003233261383004,0.10238985141068314,0.5
5VAnJyk1AESKQRvElEz0ekAfEahiRbc3ug0P1rEJuTAFR_A0qJtUj8Xk3PqPDVt9h9Z8-OgFHteVgQ,143,1.036205798424746,0.08869191024395144,0.6363636363636364
6DiAAJq-qfU4boZFScjia35_g9p7OEhPkw8ZZRklCmJeKUYnUpgHc48NjOWodEUEIQpHKwTcpaYR3w,42,1.0359575172930022,0.10043176332627453,0.5476190476190477
6r571uB-kh7FHoG0z3PLTmhUI8KSaRnB2PrBbdbWBb1p951c0Axrin7si2W3ArdhnLh3VbmQJ6jSTg,226,1.0253761039898106,0.0961717319640829,0.5619469026548672
6rSQt68Al_EZEghSEMTMqLiHQ_xYqj3mCk_64_zqxBYBzJZhqGNPf7GXIxXFYypUFwcjb8zpmxcXXA,152,1.0533485786278352,0.08854935372579063,0.631578947368421
71bOPcpsPsk1-DEtdGTg8gaB6rprTieKiEBwBOxqQ3Zvav2uq10oLZN8xTx_gcTBBhynS1oTHl40OQ,156,1.032121443594322,0.09018874019552615,0.5641025641025641
7INbcIEExThYp9fTGNn5ShMmI9840hJM__ic6JwqrDVsRc-3RrRU0aU_KPJGmm9YY_7H6Xkgds_-KA,215,0.9771285966007692,0.08079869524382431,0.5627906976744186
7SLto2ICAtmuNjC0Ug86-krsMRdTMplkRO-oKZlfCxilJzO5EpOWHpdpGOG4cwd19ySaCmhEaSifzA,235,1.0168035348617528,0.09417927895225939,0.5319148936170213
7V2RNguHCy1dNaOx63_DQUrHQ0yrIP6HQjgFkCshWXnhl42fg223_O0Znq8Yf_9D4OHH832x_iQ0qQ,256,0.9922609040854826,0.08664509710117495,0.55859375
